Unique ID,Business Name,Type (Chain/Independent),Probability of Muslim Ownership,Category,Street,City,Zip Code,State/Region,Country,Phone Number,Website URL,Google Maps Link,Latitude,Longitude,Opening Hours,Facebook,Instagram,TikTok,Data Source
UK-BRA-006,Prime Halal Store,Independent,100%,Halal Groceries & Butchers,2-4 Silver St,Bradford,BD8 8RJ,,UK,+44 1274 403616,,https://www.google.com/maps/place/Prime+Halal+Store/data=!4m7!3m6!1s0x487be74fe86d6c9b:0x26cf11298e925c38!8m2!3d53.8052842!4d-1.7755223!16s%2Fg%2F11g0mrx51y!19sChIJm2xt6E_ne0gROFySjikRzyY,53.7905019,-38.6878698,"Mon: 12-7 AM, 9 AM-12 AM? | Tue: 12-7 AM, 9 AM-12 AM? | Wed: 12-7 AM, 9 AM-12 AM? | Thu: 12-7 AM, 9 AM-12 AM? | Fri: 12-7 AM, 9 AM-12 AM? | Sat: 12-7 AM, 9 AM-12 AM? | Sun: 12-7 AM, 9 AM-12 AM?",,,,Google Maps
UK-BRA-007,Ikhlas Halal Meat,Independent,100%,Halal Groceries & Butchers,46 Darley St,Bradford,BD1 3HL,,UK,+44 7752 339236,https://www.ikhlashalalmeatbradford.co.uk,https://www.google.com/maps/place/Ikhlas+Halal+Meat/data=!4m7!3m6!1s0x487be1e63d09b301:0xd477b757ebfcadef!8m2!3d53.7962535!4d-1.755035!16s%2Fg%2F11j1zzpxlm!19sChIJAbMJPebhe0gR763861e3d9Q,53.7905019,-38.6878698,Mon: 9 AM-5:30 PM? | Tue: 9 AM-5:30 PM? | Wed: 9 AM-5:30 PM? | Thu: 9 AM-5:30 PM? | Fri: 9 AM-5:30 PM? | Sat: 9 AM-5:30 PM? | Sun: Closed?,,,,Google Maps
UK-BRA-008,Salam Halal Meat,Independent,100%,Halal Groceries & Butchers,20-30 Easby Rd,Bradford,BD7 1QX,,UK,,,https://www.google.com/maps/place/Salam+halal+meat/data=!4m7!3m6!1s0x487be715a6ac23f3:0xc19c70eb09eeef77!8m2!3d53.7879396!4d-1.7653136!16s%2Fg%2F11jt3g9tgd!19sChIJ8yOsphXne0gRd-_uCetwnME,53.7905019,-38.6878698,Mon: 8 AM-10 PM? | Tue: 8 AM-10 PM? | Wed: 8 AM-10 PM? | Thu: 8 AM-10 PM? | Fri: 8 AM-10 PM? | Sat: 8 AM-10 PM? | Sun: 8 AM-10 PM?,,,,Google Maps
UK-BRA-009,Q Ahmed Halal Meat Ltd,Independent,100%,Halal Groceries & Butchers,13 Lilycroft Rd,Bradford,BD9 5AD,,UK,+44 1274 488745,,https://www.google.com/maps/place/Q+Ahmed+Halal+Meat+Ltd/data=!4m7!3m6!1s0x487be6a6e8997d75:0xa5448e705d966656!8m2!3d53.8071199!4d-1.7802229!16s%2Fg%2F1tdndt9s!19sChIJdX2Z6Kbme0gRVmaWXXCORKU,53.7905019,-38.6878698,Mon: 9:30 AM-7 PM? | Tue: 9:30 AM-7 PM? | Wed: 9:30 AM-7 PM? | Thu: 9:30 AM-7 PM? | Fri: 9:30 AM-7 PM? | Sat: 9:30 AM-7 PM? | Sun: Closed?,,,,Google Maps
UK-BRA-010,Saveco Cash & Carry Bradford,Independent,,Halal Groceries & Butchers,Carter Gear Works,Bradford,BD3 8HE,,UK,+44 1274 665555,https://savecobradford.co.uk,https://www.google.com/maps/place/SaveCo+Cash+%26+Carry+Bradford/data=!4m7!3m6!1s0x487be1714eba2297:0x9890a275fc4e88d6!8m2!3d53.7968454!4d-1.7170018!16s%2Fg%2F1q62hcjn0!19sChIJlyK6TnHhe0gR1ohO_HWikJg,53.7905019,-38.6878698,Mon: 8:30 AM-8 PM? | Tue: 8:30 AM-8 PM? | Wed: 8:30 AM-8 PM? | Thu: 8:30 AM-8 PM? | Fri: 8:30 AM-8 PM? | Sat: 8:30 AM-8 PM? | Sun: 12-6 PM?,,,,Google Maps
UK-BRA-011,Makkah Superstore,Independent,,Halal Groceries & Butchers,239 Dickens St,Bradford,BD5 8AR,,UK,+44 7568 753130,,https://www.google.com/maps/place/Makkah+Superstore/data=!4m7!3m6!1s0x487be12dca195b2b:0x6c0b976d8f6fc820!8m2!3d53.7766529!4d-1.7560845!16s%2Fg%2F1hc2f7_6d!19sChIJK1sZyi3he0gRIMhvj22XC2w,53.7905019,-38.6878698,Mon: 8 AM-8 PM? | Tue: 8 AM-8 PM? | Wed: 8 AM-8 PM? | Thu: 8 AM-8 PM? | Fri: 8 AM-8 PM? | Sat: 8 AM-8 PM? | Sun: 9 AM-7 PM?,,,,Google Maps
UK-BRA-012,Darul Halal,Independent,100%,Halal Groceries & Butchers,76 Spencer Rd,Bradford,BD7 2HD,,UK,+44 1274 579988,,https://www.google.com/maps/place/Darul+Halal/data=!4m7!3m6!1s0x487be6c1c8e0ff39:0xc937ba0e89a15b90!8m2!3d53.7856058!4d-1.7856852!16s%2Fg%2F11h1ksn8r4!19sChIJOf_gyMHme0gRkFuhiQ66N8k,53.7905019,-38.6878698,Mon: 8 AM-6 PM? | Tue: 8 AM-6 PM? | Wed: 8 AM-6 PM? | Thu: 8 AM-6 PM? | Fri: 8 AM-6 PM? | Sat: 8 AM-6 PM? | Sun: 8 AM-6 PM?,,,,Google Maps
UK-BRA-013,Ikhlas Halal Butcher,Independent,100%,Halal Groceries & Butchers,26-28 City Rd,Bradford,BD8 8ER,,UK,+44 7752 339236,https://ikhlashalalmeatbradford.co.uk,https://www.google.com/maps/place/Ikhlas+Halal+Butcher/data=!4m7!3m6!1s0x487be7f6434bc84f:0x3561130e394b2dbe!8m2!3d53.7982679!4d-1.7651912!16s%2Fg%2F11xkf9wkyj!19sChIJT8hLQ_bne0gRvi1LOQ4TYTU,53.7905019,-38.6878698,Mon: 9 AM-7 PM? | Tue: 9 AM-7 PM? | Wed: 9 AM-7 PM? | Thu: 9 AM-7 PM? | Fri: 9 AM-7 PM? | Sat: 9 AM-7 PM? | Sun: Closed?,,,,Google Maps
UK-BRA-014,"Moroccan, Algerian And Arabic Grocery Store - Meat Butcher & Sweets Souk Al Arabi Limited",Independent,,Halal Groceries & Butchers,113 Arncliffe Terrace,Bradford,BD7 2DQ,,UK,+44 7456 878005,,"https://www.google.com/maps/place/Moroccan,+Algerian+and+Arabic+Grocery+Store+-+Meat+Butcher+%26+Sweets+Souk+Al+Arabi+Limited/data=!4m7!3m6!1s0x487be726bdba206b:0xc4262d22391b4f2d!8m2!3d53.7888425!4d-1.7778955!16s%2Fg%2F11pxm5rm8c!19sChIJayC6vSbne0gRLU8bOSItJsQ",53.7905019,-38.6878698,Mon: 9 AM-6 PM? | Tue: 9 AM-6 PM? | Wed: 9 AM-6 PM? | Thu: 9 AM-6 PM? | Fri: 9 AM-6 PM? | Sat: 9 AM-6 PM? | Sun: 9 AM-6 PM?,,,,Google Maps
UK-BRA-015,Sha Supermarket,Independent,,Halal Groceries & Butchers,78 Little Horton Ln,Bradford,BD5 0JG,,UK,+44 1274 033468,https://www.tiktok.com/@sha.supermarket?_t=ZN-8vKadjUPItm&_r=1,https://www.google.com/maps/place/Sha+supermarket/data=!4m7!3m6!1s0x487be1c86d3926e1:0xf345a2b5752dc75!8m2!3d53.7870222!4d-1.7592552!16s%2Fg%2F11x5nbmhqy!19sChIJ4SY5bcjhe0gRddxSVytaNA8,53.7905019,-38.6878698,Mon: 8 AM-10 PM? | Tue: 8 AM-10 PM? | Wed: 8 AM-10 PM? | Thu: 8 AM-10 PM? | Fri: 8 AM-10 PM? | Sat: 8 AM-10 PM? | Sun: 8 AM-10 PM?,,,https://www.tiktok.com/@sha.supermarket?_t=ZN-8vKadjUPItm&_r=1,Google Maps
UK-BRA-016,Great Horton Halal Meat,Independent,100%,Halal Groceries & Butchers,Great Horton Rd,Bradford,BD7 3DL,,UK,+44 1274 522199,,https://www.google.com/maps/place/Great+Horton+Halal+Meat/data=!4m7!3m6!1s0x487be6c3b45832a9:0xa831da8c4c27771c!8m2!3d53.7805504!4d-1.7851643!16s%2Fg%2F11f29_9mnv!19sChIJqTJYtMPme0gRHHcnTIzaMag,53.7905019,-38.6878698,Mon: 9 AM-6 PM? | Tue: 9 AM-6 PM? | Wed: 9 AM-6 PM? | Thu: 9 AM-6 PM? | Fri: 9 AM-6 PM? | Sat: 9 AM-6 PM? | Sun: 10 AM-4 PM?,,,,Google Maps
UK-BRA-017,Quality Halal Butchers,Independent,100%,Halal Groceries & Butchers,104-106 Amberley St,Bradford,BD3 8QR,,UK,+44 7599 308930,,https://www.google.com/maps/place/Quality+Halal+Butchers/data=!4m7!3m6!1s0x487be14f5932eb15:0x38be1fac5ebab971!8m2!3d53.795584!4d-1.7252672!16s%2Fg%2F11fn55wm9b!19sChIJFesyWU_he0gRcbm6Xqwfvjg,53.7905019,-38.6878698,Mon: 9 AM-7 PM? | Tue: 9 AM-7 PM? | Wed: 9 AM-7 PM? | Thu: 9 AM-7 PM? | Fri: 9 AM-7 PM? | Sat: 9 AM-7 PM? | Sun: 9 AM-7 PM?,,,,Google Maps
UK-BRA-018,Watan Superstore,Independent,,Halal Groceries & Butchers,14 Rochester St,Bradford,BD3 8ED,,UK,+44 1274 661756,http://watansuperstore.co.uk/?utm_source=gmb&utm_medium=referral,https://www.google.com/maps/place/Watan+Superstore/data=!4m7!3m6!1s0x487be1722413b823:0x28d84e7b12f729a8!8m2!3d53.7947744!4d-1.7199495!16s%2Fg%2F1tgd620r!19sChIJI7gTJHLhe0gRqCn3EntO2Cg,53.7905019,-38.6878698,Mon: 9 AM-9 PM? | Tue: 9 AM-9 PM? | Wed: 9 AM-9 PM? | Thu: 9 AM-9 PM? | Fri: 9 AM-9 PM? | Sat: 9 AM-9 PM? | Sun: 12-6 PM?,,,,Google Maps
UK-BRA-019,Zia Halal Butchers,Independent,100%,Halal Groceries & Butchers,141thornbury avenue,Bradford,BD3 8HZ,,UK,+44 7729 658161,,https://www.google.com/maps/place/Zia+Halal+Butchers/data=!4m7!3m6!1s0x487be127eaeb572d:0xcf2b99338255adaa!8m2!3d53.7996316!4d-1.7150595!16s%2Fg%2F11lz20fg_2!19sChIJLVfr6ifhe0gRqq1VgjOZK88,53.7905019,-38.6878698,Mon: 9:30 AM-6 PM? | Tue: 9:30 AM-6 PM? | Wed: 9:30 AM-6 PM? | Thu: 9:30 AM-6 PM? | Fri: 9:30 AM-6 PM? | Sat: 9:30 AM-6 PM? | Sun: 9:30 AM-6 PM?,,,,Google Maps
UK-LEE-001,Abu Bakr Supermarket Queens Road,Independent,,Halal Groceries & Butchers,37 Queen's Rd,Leeds,LS6 1NY,,UK,+44 113 289 9152,http://abubakrgroup.com,https://www.google.com/maps/place/Abu+Bakr+Supermarket+Queens+Road/data=!4m7!3m6!1s0x48795eb39593f981:0xe5b76ebb31b21475!8m2!3d53.8100049!4d-1.5699415!16s%2Fg%2F1wg5xj9r!19sChIJgfmTlbNeeUgRdRSyMbtut-U,53.8100049,-1.6420393,Mon: 9 AM-9 PM? | Tue: 9 AM-9 PM? | Wed: 9 AM-9 PM? | Thu: 9 AM-9 PM? | Fri: 9 AM-9 PM? | Sat: 9 AM-9 PM? | Sun: 9 AM-9 PM?,,,,Google Maps
UK-LEE-002,Freshways Halal Market,Independent,100%,Halal Groceries & Butchers,,Leeds,,,UK,+44 113 240 0311,,https://www.google.com/maps/place/Abu+Bakr+Supermarket+Queens+Road/data=!4m7!3m6!1s0x48795eb39593f981:0xe5b76ebb31b21475!8m2!3d53.8100049!4d-1.5699415!16s%2Fg%2F1wg5xj9r!19sChIJgfmTlbNeeUgRdRSyMbtut-U,53.7952078,-1.5470718,,,,,Google Maps
UK-LEE-003,Abu Bakr Supermarket Kirkstall Road,Independent,,Halal Groceries & Butchers,330 Kirkstall Rd,Leeds,LS4 2DN,,UK,+44 113 824 4578,http://abubakrgroup.com,https://www.google.com/maps/place/Abu+Bakr+Supermarket+Kirkstall+Road/data=!4m7!3m6!1s0x48795f1273e11357:0x20baf78bb84a7742!8m2!3d53.806095!4d-1.5804908!16s%2Fg%2F11ny0fkhl6!19sChIJVxPhcxJfeUgRQndKuIv3uiA,53.8100049,-1.6420393,Mon: 9 AM-9 PM? | Tue: 9 AM-9 PM? | Wed: 9 AM-9 PM? | Thu: 9 AM-9 PM? | Fri: 9 AM-9 PM? | Sat: 9 AM-9 PM? | Sun: 9 AM-9 PM?,,,,Google Maps
UK-LEE-004,Supermarket Al-jannah,Independent,,Halal Groceries & Butchers,41 Hyde Park Rd,Leeds,LS6 1PY,,UK,+44 7777 714080,,https://www.google.com/maps/place/Supermarket+Al-Jannah/data=!4m7!3m6!1s0x48795eb10bbde45b:0xa132c80ddbbe5405!8m2!3d53.8064382!4d-1.5687949!16s%2Fg%2F1pp2x8vj5!19sChIJW-S9C7FeeUgRBVS-2w3IMqE,53.8064382,-1.6408927,Mon: 8 AM-11 PM? | Tue: 8 AM-11 PM? | Wed: 8 AM-11 PM? | Thu: 8 AM-11 PM? | Fri: 8 AM-11 PM? | Sat: 9 AM-11 PM? | Sun: 9 AM-11 PM?,,,,Google Maps
UK-LEI-001,Umrah Supermarket,Independent,,Halal Groceries & Butchers,Unit 9,Leicester,LE1 1SG,,UK,+44 7448 208201,,https://www.google.com/maps/place/UMRAH+SUPERMARKET/data=!4m7!3m6!1s0x4877611b1b823025:0xbd5172c672b5452b!8m2!3d52.6348983!4d-1.1218648!16s%2Fg%2F11smchl7zh!19sChIJJTCCGxthd0gRK0W1csZyUb0,52.6410143,-1.1232176,Mon: 8 AM-10 PM? | Tue: 8 AM-10 PM? | Wed: 8 AM-10 PM? | Thu: 8 AM-10 PM? | Fri: 8 AM-10 PM? | Sat: 8 AM-10 PM? | Sun: 10 AM-4 PM?,,,,Google Maps
UK-LEI-002,Al Hamra Meat & Groceries,Independent,,Halal Groceries & Butchers,,Leicester,,,UK,+44 116 249 0500,,https://www.google.com/maps/place/AL+HAMRA+Meat+%26+Groceries/data=!4m7!3m6!1s0x487761470aea476d:0x96e5b268ebc07ee7!8m2!3d52.6256172!4d-1.1093045!16s%2Fg%2F1tgd60c6!19sChIJbUfqCkdhd0gR537A62iy5ZY,52.6410143,-1.1232176,,,,,Google Maps
